t,log_t,vth_average
1653.6244070933315,7.4107247682334325,1.4950637887809126
1755.856331413635,7.470711955024864,1.4932509225887904
1864.4085339696633,7.530699141816292,1.4911901491957602
1979.671752950521,7.59068632860772,1.4900533935067957
2102.060883129358,7.6506735153991485,1.490297221506168
2232.016469294446,7.710660702190577,1.4910203443667973
2370.0062920085543,7.770647888982005,1.4918182568987206
2516.5270514046315,7.830635075773433,1.4922985086810676
2672.106155078689,7.890622262564861,1.4924967520432033
2837.303616515483,7.950609449356289,1.4926566553118104
3012.7140708804523,8.010596636147717,1.4927592971635018
3198.9689154338425,8.070583822939145,1.4927402836518462
3396.7385822715323,8.130571009730573,1.4912995419477912
3606.7349515733736,8.190558196522002,1.4888588748964366
3829.713914045647,8.25054538331343,1.4867938411597512
4066.478091781246,8.310532570104858,1.4863352483736552
4317.879727331436,8.370519756896286,1.4866705835304084
4584.823751388535,8.430506943687714,1.4871597426529326
4868.271040121749,8.490494130479142,1.487530656149387
5169.2418738910965,8.55048131727057,1.4875788729471766
5488.819609789199,8.610468504061998,1.4875249885764863
5828.154581230405,8.670455690853426,1.4874352231604424
6188.468238623981,8.730442877644855,1.487327356425525
6571.057546035904,8.790430064436283,1.4871796577268648
6977.299649665209,8.85041725122771,1.4869306893847636
7408.656834939278,8.910404438019139,1.4866829923467972
7866.681790071342,8.970391624810567,1.4865497675884265
8353.023195026584,9.030378811601995,1.4866345380985122
8869.431656014567,9.090365998393423,1.486945665258422
9417.766006869466,9.150353185184855,1.4874416137131776
10000.000000000004,9.210340371976283,1.488080533
